question_id,question,type,option_a,option_b,option_c,option_d,option_e,correct_option,reverse_scored,weight,subscale,notes
451,I am aware of my emotions as they happen.,likert,,,,,,,false,1,,
452,"When I'm upset, I usually know why.",likert,,,,,,,false,1,,
453,I can identify different emotions I experience throughout the day.,likert,,,,,,,false,1,,
454,I understand how my emotions affect my behavior.,likert,,,,,,,false,1,,
455,I recognize my emotional patterns and triggers.,likert,,,,,,,false,1,,
456,I can tell the difference between similar emotions (like frustration and anger).,likert,,,,,,,false,1,,
457,I am aware of how my emotions change in different situations.,likert,,,,,,,false,1,,
458,I notice physical signs of my emotional states.,likert,,,,,,,false,1,,
459,I can predict how I might feel in certain situations.,likert,,,,,,,false,1,,
460,I understand the connection between my thoughts and emotions.,likert,,,,,,,false,1,,
461,I can control my temper when I'm angry.,likert,,,,,,,false,1,,
462,"I think before I act, even when I'm excited.",likert,,,,,,,false,1,,
463,I can calm myself down when I'm upset.,likert,,,,,,,false,1,,
464,I can resist impulses that might be harmful or inappropriate.,likert,,,,,,,false,1,,
465,I can stay focused even when I'm feeling emotional.,likert,,,,,,,false,1,,
466,I can adapt my emotions to fit different situations.,likert,,,,,,,false,1,,
467,I can bounce back quickly from disappointments.,likert,,,,,,,false,1,,
468,I can manage my stress levels effectively.,likert,,,,,,,false,1,,
469,I can control my reactions during conflicts.,likert,,,,,,,false,1,,
470,I can maintain my composure under pressure.,likert,,,,,,,false,1,,
471,I persist even when tasks become difficult.,likert,,,,,,,false,1,,
472,I set challenging goals for myself.,likert,,,,,,,false,1,,
473,I am optimistic about my ability to succeed.,likert,,,,,,,false,1,,
474,I enjoy working toward long-term goals.,likert,,,,,,,false,1,,
475,I am willing to work hard for things I want to achieve.,likert,,,,,,,false,1,,
476,I maintain my effort even when progress is slow.,likert,,,,,,,false,1,,
477,I look for ways to improve my performance.,likert,,,,,,,false,1,,
478,I take initiative to start new projects or activities.,likert,,,,,,,false,1,,
479,I am motivated by internal satisfaction rather than just external rewards.,likert,,,,,,,false,1,,
480,I remain committed to my goals even when facing obstacles.,likert,,,,,,,false,1,,
481,I can tell how others are feeling by their facial expressions.,likert,,,,,,,false,1,,
482,I try to understand others' perspectives before judging them.,likert,,,,,,,false,1,,
483,"I notice when someone is upset, even if they try to hide it.",likert,,,,,,,false,1,,
484,I can sense the mood of a group or room when I enter.,likert,,,,,,,false,1,,
485,I feel concerned when others are suffering or in pain.,likert,,,,,,,false,1,,
486,I can understand why people react the way they do.,likert,,,,,,,false,1,,
487,I am good at reading between the lines in conversations.,likert,,,,,,,false,1,,
488,I can put myself in someone else's shoes easily.,likert,,,,,,,false,1,,
489,I notice non-verbal cues like body language and tone of voice.,likert,,,,,,,false,1,,
490,I am sensitive to others' feelings and emotions.,likert,,,,,,,false,1,,
491,I find it easy to resolve conflicts between people.,likert,,,,,,,false,1,,
492,I can influence others to work toward common goals.,likert,,,,,,,false,1,,
493,I am good at building rapport with new people.,likert,,,,,,,false,1,,
494,I can communicate my ideas clearly to others.,likert,,,,,,,false,1,,
495,I work well in team situations.,likert,,,,,,,false,1,,
496,I can give feedback in a way that others accept well.,likert,,,,,,,false,1,,
497,I am good at networking and maintaining relationships.,likert,,,,,,,false,1,,
498,I can lead group discussions effectively.,likert,,,,,,,false,1,,
499,I can negotiate and find compromises that work for everyone.,likert,,,,,,,false,1,,
500,I help create a positive atmosphere in groups I'm part of.,likert,,,,,,,false,1,,
