question_id,question,type,option_a,option_b,option_c,option_d,option_e,correct_option,reverse_scored,weight,subscale,notes
1,I am someone who is talkative and outgoing.,likert,,,,,,,false,1,,
2,I prefer to keep my options open rather than stick to a plan.,likert,,,,,,,false,1,,
3,I am easily stressed and worry about many things.,likert,,,,,,,false,1,,
4,I enjoy learning new things and exploring ideas.,likert,,,,,,,false,1,,
5,I am generally trusting and cooperative with others.,likert,,,,,,,false,1,,
6,I see myself as someone who is reserved and quiet.,likert,,,,,,,true,1,,
7,I like to have everything organized and in its place.,likert,,,,,,,false,1,,
8,I remain calm in tense situations.,likert,,,,,,,true,1,,
9,I am curious about many different things.,likert,,,,,,,false,1,,
10,I find fault with others easily.,likert,,,,,,,true,1,,
11,I am full of energy and enthusiasm.,likert,,,,,,,false,1,,
12,I can be somewhat careless and disorganized.,likert,,,,,,,true,1,,
13,I worry a lot about different things.,likert,,,,,,,false,1,,
14,I have an active imagination and think creatively.,likert,,,,,,,false,1,,
15,I am helpful and unselfish with others.,likert,,,,,,,false,1,,
16,I tend to be shy and withdrawn in social situations.,likert,,,,,,,true,1,,
17,I persevere until a task is finished.,likert,,,,,,,false,1,,
18,I am relaxed and handle stress well.,likert,,,,,,,true,1,,
19,I value artistic and aesthetic experiences.,likert,,,,,,,false,1,,
20,I can be cold and aloof toward others.,likert,,,,,,,true,1,,
21,I prefer large gatherings and social events.,likert,,,,,,,false,1,,
22,I tend to be lazy and put off tasks.,likert,,,,,,,true,1,,
23,I get nervous and anxious easily.,likert,,,,,,,false,1,,
24,I like to reflect and play with ideas.,likert,,,,,,,false,1,,
25,I have a forgiving nature and overlook mistakes.,likert,,,,,,,false,1,,
26,I generate a lot of enthusiasm in others.,likert,,,,,,,false,1,,
27,I make plans and follow through with them.,likert,,,,,,,false,1,,
28,I rarely feel blue or depressed.,likert,,,,,,,true,1,,
29,I prefer work that is routine and predictable.,likert,,,,,,,true,1,,
30,I am generally trusting of other people's motives.,likert,,,,,,,false,1,,
31,I find it easy to start conversations with new people.,likert,,,,,,,false,1,,
32,I prefer working on problems that require abstract thinking.,likert,,,,,,,false,1,,
33,I remain calm under pressure and stress.,likert,,,,,,,false,1,,
34,I like to be the leader in group activities.,likert,,,,,,,false,1,,
35,I enjoy being around lots of people and social gatherings.,likert,,,,,,,false,1,,
36,I am more interested in ideas than in practical matters.,likert,,,,,,,false,1,,
37,I feel confident in most social situations.,likert,,,,,,,false,1,,
38,I prefer to follow rules and established procedures.,likert,,,,,,,false,1,,
39,I enjoy taking risks and trying new adventures.,likert,,,,,,,false,1,,
40,I am sensitive to others' feelings and emotions.,likert,,,,,,,false,1,,
41,I like to be in control of situations.,likert,,,,,,,false,1,,
42,I prefer working alone rather than in groups.,likert,,,,,,,true,1,,
43,I enjoy intellectual discussions and debates.,likert,,,,,,,false,1,,
44,I am easily influenced by others' opinions.,likert,,,,,,,false,1,,
45,I like to plan ahead and be organized.,likert,,,,,,,false,1,,
46,I am comfortable being the center of attention.,likert,,,,,,,false,1,,
47,I prefer practical solutions over theoretical ones.,likert,,,,,,,true,1,,
48,I trust my instincts and gut feelings.,likert,,,,,,,false,1,,
49,I enjoy competitive activities and challenges.,likert,,,,,,,false,1,,
50,I am concerned about what others think of me.,likert,,,,,,,true,1,,
51,I like to experiment and try different approaches.,likert,,,,,,,false,1,,
52,"I prefer quiet, calm environments.",likert,,,,,,,true,1,,
53,I enjoy analyzing complex problems.,likert,,,,,,,false,1,,
54,I am easily upset by criticism.,likert,,,,,,,false,1,,
55,I like to have clear deadlines and structure.,likert,,,,,,,false,1,,
56,I enjoy meeting new people and making friends.,likert,,,,,,,false,1,,
57,I prefer concrete facts over abstract theories.,likert,,,,,,,true,1,,
58,I make decisions quickly and confidently.,likert,,,,,,,false,1,,
59,I enjoy being part of a team.,likert,,,,,,,true,1,,
60,I am sensitive to noise and distractions.,likert,,,,,,,true,1,,
61,I like to question and challenge ideas.,likert,,,,,,,false,1,,
62,I avoid situations where I might be criticized.,likert,,,,,,,false,1,,
63,I prefer flexibility over rigid schedules.,likert,,,,,,,false,1,,
64,I feel energized by social interactions.,likert,,,,,,,false,1,,
65,I focus on practical applications rather than theory.,likert,,,,,,,true,1,,
66,I stick to my decisions once I make them.,likert,,,,,,,false,1,,
67,I enjoy helping others solve their problems.,likert,,,,,,,false,1,,
68,I need quiet time to recharge after social events.,likert,,,,,,,true,1,,
69,I enjoy exploring philosophical questions.,likert,,,,,,,false,1,,
70,I worry about making mistakes.,likert,,,,,,,false,1,,
71,I like to keep my options open.,likert,,,,,,,false,1,,
72,"I thrive in busy, active environments.",likert,,,,,,,false,1,,
73,I prefer to work:,likert,,,,,,,false,1,,
74,My ideal work environment would be:,likert,,,,,,,false,1,,
75,I prefer tasks that are:,likert,,,,,,,false,1,,
76,"When facing a deadline, I",likert,,,,,,,false,1,,
77,I learn best through:,likert,,,,,,,false,1,,
