question_id,question,type,option_a,option_b,option_c,option_d,option_e,correct_option,reverse_scored,weight,subscale,notes
121,I enjoy solving mathematical puzzles and brain teasers.,likert,,,,,,,false,1,,
122,I can easily see patterns in numbers and sequences.,likert,,,,,,,false,1,,
123,I like to analyze problems step by step.,likert,,,,,,,false,1,,
124,I enjoy working with statistics and data.,likert,,,,,,,false,1,,
125,I find mathematical concepts interesting and engaging.,likert,,,,,,,false,1,,
126,I can estimate quantities and measurements accurately.,likert,,,,,,,false,1,,
127,I enjoy games that involve strategy and logic.,likert,,,,,,,false,1,,
128,I like to understand how things work mechanically.,likert,,,,,,,false,1,,
129,I can solve problems using logical reasoning.,likert,,,,,,,false,1,,
130,I enjoy organizing information into categories and systems.,likert,,,,,,,false,1,,
131,I enjoy reading books and written materials.,likert,,,,,,,false,1,,
132,I find it easy to express my thoughts in writing.,likert,,,,,,,false,1,,
133,I have a good vocabulary and enjoy learning new words.,likert,,,,,,,false,1,,
134,I like to tell stories and share experiences verbally.,likert,,,,,,,false,1,,
135,"I enjoy word games, crosswords, and puzzles.",likert,,,,,,,false,1,,
136,"I can remember quotes, sayings, and poetry easily.",likert,,,,,,,false,1,,
137,I enjoy debates and discussions about various topics.,likert,,,,,,,false,1,,
138,I like to keep a journal or diary.,likert,,,,,,,false,1,,
139,I can explain complex ideas clearly to others.,likert,,,,,,,false,1,,
140,I enjoy learning foreign languages.,likert,,,,,,,false,1,,
141,I can easily imagine how objects look from different angles.,likert,,,,,,,false,1,,
142,"I enjoy activities like drawing, painting, or designing.",likert,,,,,,,false,1,,
143,I have a good sense of direction and rarely get lost.,likert,,,,,,,false,1,,
144,I can visualize things clearly in my mind.,likert,,,,,,,false,1,,
145,"I notice colors, shapes, and visual details that others miss.",likert,,,,,,,false,1,,
146,"I enjoy working with maps, charts, and diagrams.",likert,,,,,,,false,1,,
147,I can assemble things without looking at instructions.,likert,,,,,,,false,1,,
148,I think in pictures rather than words.,likert,,,,,,,false,1,,
149,I enjoy decorating and arranging spaces.,likert,,,,,,,false,1,,
150,I can estimate distances and spatial relationships well.,likert,,,,,,,false,1,,
151,I can easily remember melodies and songs.,likert,,,,,,,false,1,,
152,I notice when someone sings or plays off-key.,likert,,,,,,,false,1,,
153,I enjoy listening to music and have favorite genres.,likert,,,,,,,false,1,,
154,I can keep time with music and have good rhythm.,likert,,,,,,,false,1,,
155,I often have songs playing in my head.,likert,,,,,,,false,1,,
156,I can recognize different musical instruments by sound.,likert,,,,,,,false,1,,
157,I enjoy singing or playing musical instruments.,likert,,,,,,,false,1,,
158,I can create rhythms and beats easily.,likert,,,,,,,false,1,,
159,Music affects my mood and emotions strongly.,likert,,,,,,,false,1,,
160,I can learn songs quickly by listening to them.,likert,,,,,,,false,1,,
161,I learn better when I can move around and use my hands.,likert,,,,,,,false,1,,
162,I am good at sports and physical activities.,likert,,,,,,,false,1,,
163,I enjoy working with my hands and building things.,likert,,,,,,,false,1,,
164,I can mimic movements and gestures easily.,likert,,,,,,,false,1,,
165,I have good coordination and balance.,likert,,,,,,,false,1,,
166,I enjoy physical challenges and activities.,likert,,,,,,,false,1,,
167,I can express myself through movement and dance.,likert,,,,,,,false,1,,
168,I prefer to learn by doing rather than listening.,likert,,,,,,,false,1,,
169,I am good at crafts and hands-on projects.,likert,,,,,,,false,1,,
170,I can sense how my body feels and moves in space.,likert,,,,,,,false,1,,
171,I can easily sense what others are feeling.,likert,,,,,,,false,1,,
172,People often come to me for advice about their problems.,likert,,,,,,,false,1,,
173,I enjoy working with others and being part of a team.,likert,,,,,,,false,1,,
174,I can understand different points of view easily.,likert,,,,,,,false,1,,
175,I am good at resolving conflicts between people.,likert,,,,,,,false,1,,
176,I enjoy meeting new people and making friends.,likert,,,,,,,false,1,,
177,I can read people's moods and emotions accurately.,likert,,,,,,,false,1,,
178,I like to help others achieve their goals.,likert,,,,,,,false,1,,
179,I am comfortable in social situations.,likert,,,,,,,false,1,,
180,I can adapt my behavior to different social contexts.,likert,,,,,,,false,1,,
181,I have a clear understanding of my strengths and weaknesses.,likert,,,,,,,false,1,,
182,I prefer to reflect on my thoughts before sharing them.,likert,,,,,,,false,1,,
183,I am aware of my emotions and what triggers them.,likert,,,,,,,false,1,,
184,I enjoy spending time alone thinking and reflecting.,likert,,,,,,,false,1,,
185,I have strong personal values and beliefs.,likert,,,,,,,false,1,,
186,I can motivate myself to achieve my goals.,likert,,,,,,,false,1,,
187,I learn from my mistakes and experiences.,likert,,,,,,,false,1,,
188,I am comfortable with solitude and quiet time.,likert,,,,,,,false,1,,
189,I understand my learning style and preferences.,likert,,,,,,,false,1,,
190,I can manage my emotions and reactions well.,likert,,,,,,,false,1,,
191,I enjoy spending time in nature and outdoors.,likert,,,,,,,false,1,,
192,"I can easily identify different plants, animals, or natural phenomena.",likert,,,,,,,false,1,,
193,I am concerned about environmental issues.,likert,,,,,,,false,1,,
194,"I enjoy camping, hiking, or other outdoor activities.",likert,,,,,,,false,1,,
195,I notice patterns and changes in the weather.,likert,,,,,,,false,1,,
196,"I like to collect things from nature (rocks, leaves, etc.).",likert,,,,,,,false,1,,
197,I can distinguish between different sounds in nature.,likert,,,,,,,false,1,,
198,I enjoy gardening or working with plants.,likert,,,,,,,false,1,,
199,I prefer natural settings over urban environments.,likert,,,,,,,false,1,,
200,I can categorize and classify natural objects easily.,likert,,,,,,,false,1,,
